This job can be monitored from: https://scruffy.c3se.chalmers.se/d/alvis-job/alvis-job?var-jobid=551743&from=1662750828000
flat_modules is the only option now for updated Alvis nodes. You can remove this function call.

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 1 iter 0: train loss 5.63292. lr 6.000000e-03:   0%|          | 0/23 [00:01<?, ?it/s]
epoch 1 iter 0: train loss 5.63292. lr 6.000000e-03:   4%|▍         | 1/23 [00:01<00:26,  1.23s/it]
epoch 1 iter 1: train loss 6.16840. lr 6.000000e-03:   4%|▍         | 1/23 [00:01<00:26,  1.23s/it]
epoch 1 iter 2: train loss 5.53001. lr 6.000000e-03:   4%|▍         | 1/23 [00:01<00:26,  1.23s/it]
epoch 1 iter 2: train loss 5.53001. lr 6.000000e-03:  13%|█▎        | 3/23 [00:01<00:17,  1.14it/s]
epoch 1 iter 3: train loss 3.71215. lr 6.000000e-03:  13%|█▎        | 3/23 [00:01<00:17,  1.14it/s]
epoch 1 iter 4: train loss 3.49386. lr 6.000000e-03:  13%|█▎        | 3/23 [00:01<00:17,  1.14it/s]
epoch 1 iter 4: train loss 3.49386. lr 6.000000e-03:  22%|██▏       | 5/23 [00:01<00:11,  1.57it/s]
epoch 1 iter 5: train loss 3.52997. lr 6.000000e-03:  22%|██▏       | 5/23 [00:01<00:11,  1.57it/s]
epoch 1 iter 6: train loss 3.58069. lr 6.000000e-03:  22%|██▏       | 5/23 [00:01<00:11,  1.57it/s]
epoch 1 iter 6: train loss 3.58069. lr 6.000000e-03:  30%|███       | 7/23 [00:01<00:07,  2.15it/s]
epoch 1 iter 7: train loss 3.50378. lr 6.000000e-03:  30%|███       | 7/23 [00:01<00:07,  2.15it/s]
epoch 1 iter 8: train loss 3.48574. lr 6.000000e-03:  30%|███       | 7/23 [00:01<00:07,  2.15it/s]
epoch 1 iter 8: train loss 3.48574. lr 6.000000e-03:  39%|███▉      | 9/23 [00:01<00:04,  2.89it/s]
epoch 1 iter 9: train loss 3.49773. lr 6.000000e-03:  39%|███▉      | 9/23 [00:01<00:04,  2.89it/s]
epoch 1 iter 10: train loss 3.46119. lr 6.000000e-03:  39%|███▉      | 9/23 [00:01<00:04,  2.89it/s]
epoch 1 iter 10: train loss 3.46119. lr 6.000000e-03:  48%|████▊     | 11/23 [00:01<00:03,  3.80it/s]
epoch 1 iter 11: train loss 3.52076. lr 6.000000e-03:  48%|████▊     | 11/23 [00:01<00:03,  3.80it/s]
epoch 1 iter 12: train loss 3.48000. lr 6.000000e-03:  48%|████▊     | 11/23 [00:02<00:03,  3.80it/s]
epoch 1 iter 12: train loss 3.48000. lr 6.000000e-03:  57%|█████▋    | 13/23 [00:02<00:02,  4.88it/s]
epoch 1 iter 13: train loss 3.48546. lr 6.000000e-03:  57%|█████▋    | 13/23 [00:02<00:02,  4.88it/s]
epoch 1 iter 14: train loss 3.42038. lr 6.000000e-03:  57%|█████▋    | 13/23 [00:02<00:02,  4.88it/s]
epoch 1 iter 14: train loss 3.42038. lr 6.000000e-03:  65%|██████▌   | 15/23 [00:02<00:01,  6.10it/s]
epoch 1 iter 15: train loss 3.43853. lr 6.000000e-03:  65%|██████▌   | 15/23 [00:02<00:01,  6.10it/s]
epoch 1 iter 16: train loss 3.42039. lr 6.000000e-03:  65%|██████▌   | 15/23 [00:02<00:01,  6.10it/s]
epoch 1 iter 16: train loss 3.42039. lr 6.000000e-03:  74%|███████▍  | 17/23 [00:02<00:00,  7.39it/s]
epoch 1 iter 17: train loss 3.43015. lr 6.000000e-03:  74%|███████▍  | 17/23 [00:02<00:00,  7.39it/s]
epoch 1 iter 18: train loss 3.45096. lr 6.000000e-03:  74%|███████▍  | 17/23 [00:02<00:00,  7.39it/s]
epoch 1 iter 18: train loss 3.45096. lr 6.000000e-03:  83%|████████▎ | 19/23 [00:02<00:00,  8.67it/s]
epoch 1 iter 19: train loss 3.46275. lr 6.000000e-03:  83%|████████▎ | 19/23 [00:02<00:00,  8.67it/s]
epoch 1 iter 20: train loss 3.42303. lr 6.000000e-03:  83%|████████▎ | 19/23 [00:02<00:00,  8.67it/s]
epoch 1 iter 20: train loss 3.42303. lr 6.000000e-03:  91%|█████████▏| 21/23 [00:02<00:00,  9.88it/s]
epoch 1 iter 21: train loss 3.39934. lr 6.000000e-03:  91%|█████████▏| 21/23 [00:02<00:00,  9.88it/s]
epoch 1 iter 22: train loss 3.44748. lr 6.000000e-03:  91%|█████████▏| 21/23 [00:02<00:00,  9.88it/s]
epoch 1 iter 22: train loss 3.44748. lr 6.000000e-03: 100%|██████████| 23/23 [00:02<00:00, 11.00it/s]

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 2 iter 0: train loss 3.43894. lr 6.000000e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 2 iter 1: train loss 3.43189. lr 6.000000e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 2 iter 1: train loss 3.43189. lr 6.000000e-03:   9%|▊         | 2/23 [00:00<00:01, 14.57it/s]
epoch 2 iter 2: train loss 3.43117. lr 6.000000e-03:   9%|▊         | 2/23 [00:00<00:01, 14.57it/s]
epoch 2 iter 3: train loss 3.43386. lr 6.000000e-03:   9%|▊         | 2/23 [00:00<00:01, 14.57it/s]
epoch 2 iter 3: train loss 3.43386. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01, 14.57it/s]
epoch 2 iter 4: train loss 3.46004. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01, 14.57it/s]
epoch 2 iter 5: train loss 3.41976. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01, 14.57it/s]
epoch 2 iter 5: train loss 3.41976. lr 6.000000e-03:  26%|██▌       | 6/23 [00:00<00:01, 14.55it/s]
epoch 2 iter 6: train loss 3.43713. lr 6.000000e-03:  26%|██▌       | 6/23 [00:00<00:01, 14.55it/s]
epoch 2 iter 7: train loss 3.40582. lr 6.000000e-03:  26%|██▌       | 6/23 [00:00<00:01, 14.55it/s]
epoch 2 iter 7: train loss 3.40582. lr 6.000000e-03:  35%|███▍      | 8/23 [00:00<00:01, 14.52it/s]
epoch 2 iter 8: train loss 3.43047. lr 6.000000e-03:  35%|███▍      | 8/23 [00:00<00:01, 14.52it/s]
epoch 2 iter 9: train loss 3.38308. lr 6.000000e-03:  35%|███▍      | 8/23 [00:00<00:01, 14.52it/s]
epoch 2 iter 9: train loss 3.38308. lr 6.000000e-03:  43%|████▎     | 10/23 [00:00<00:00, 14.55it/s]
epoch 2 iter 10: train loss 3.38600. lr 6.000000e-03:  43%|████▎     | 10/23 [00:00<00:00, 14.55it/s]
epoch 2 iter 11: train loss 3.36220. lr 6.000000e-03:  43%|████▎     | 10/23 [00:00<00:00, 14.55it/s]
epoch 2 iter 11: train loss 3.36220. lr 6.000000e-03:  52%|█████▏    | 12/23 [00:00<00:00, 14.53it/s]
epoch 2 iter 12: train loss 3.32561. lr 6.000000e-03:  52%|█████▏    | 12/23 [00:00<00:00, 14.53it/s]
epoch 2 iter 13: train loss 3.27073. lr 6.000000e-03:  52%|█████▏    | 12/23 [00:00<00:00, 14.53it/s]
epoch 2 iter 13: train loss 3.27073. lr 6.000000e-03:  61%|██████    | 14/23 [00:00<00:00, 13.78it/s]
epoch 2 iter 14: train loss 3.21215. lr 6.000000e-03:  61%|██████    | 14/23 [00:01<00:00, 13.78it/s]
epoch 2 iter 15: train loss 3.21544. lr 6.000000e-03:  61%|██████    | 14/23 [00:01<00:00, 13.78it/s]
epoch 2 iter 15: train loss 3.21544. lr 6.000000e-03:  70%|██████▉   | 16/23 [00:01<00:00, 12.21it/s]
epoch 2 iter 16: train loss 3.20371. lr 6.000000e-03:  70%|██████▉   | 16/23 [00:01<00:00, 12.21it/s]
epoch 2 iter 17: train loss 3.22599. lr 6.000000e-03:  70%|██████▉   | 16/23 [00:01<00:00, 12.21it/s]
epoch 2 iter 17: train loss 3.22599. lr 6.000000e-03:  78%|███████▊  | 18/23 [00:01<00:00, 11.00it/s]
epoch 2 iter 18: train loss 3.22055. lr 6.000000e-03:  78%|███████▊  | 18/23 [00:01<00:00, 11.00it/s]
epoch 2 iter 19: train loss 3.20957. lr 6.000000e-03:  78%|███████▊  | 18/23 [00:01<00:00, 11.00it/s]
epoch 2 iter 19: train loss 3.20957. lr 6.000000e-03:  87%|████████▋ | 20/23 [00:01<00:00,  9.63it/s]
epoch 2 iter 20: train loss 3.21499. lr 6.000000e-03:  87%|████████▋ | 20/23 [00:01<00:00,  9.63it/s]
epoch 2 iter 21: train loss 3.17021. lr 6.000000e-03:  87%|████████▋ | 20/23 [00:01<00:00,  9.63it/s]
epoch 2 iter 21: train loss 3.17021. lr 6.000000e-03:  96%|█████████▌| 22/23 [00:01<00:00,  9.97it/s]
